"target_id","sex","recording","n_points","duration_s","mean_speed_ms","mean_height_cm","path_length_m"
100001,"Male","180725_mal-col_d03",58726,293.625,0.408871191269764,6.5586919486184,125.046156076446
100002,"Male","180725_mal-col_d03",1053,5.26,0.348560704549815,-34.1870280735721,1.9043690400829
100003,"Male","180725_mal-col_d03",1401,7,0.217750386749984,-38.242255531763,1.73349387123467
100004,"Male","180725_mal-col_d03",149,0.739999999999999,0,-48.1,0
100005,"Male","180725_mal-col_d03",225,1.12,0.290354280265566,-31.876,0.352585241379757
100006,"Male","180725_mal-col_d03",1641,8.2,0.341890734858456,-37.1643239113827,2.36431302927805
100007,"Male","180725_mal-col_d03",625,3.12,0.278439268173345,-37.9896,0.953534968394936
100008,"Male","180725_mal-col_d03",81,0.400000000000002,0.174888280500733,-41.5,0.085404498154233
100009,"Male","180725_mal-col_d03",581,2.9,0.266691909366878,-37.9652323580034,0.854400034202526
100010,"Male","180725_mal-col_d03",745,3.72,0.226994065673092,-32.7232214765101,0.956001219758452
100011,"Male","180725_mal-col_d03",569,2.84,0.419261427408319,-29.0335676625659,1.24324085820731
100012,"Male","180725_mal-col_d03",69,0.340000000000003,0.160671566984678,-24.5449275362319,0.0632630914883611
100013,"Male","180725_mal-col_d03",65,0.32,0.15043058673456,-15.1984615384615,0.0544280916539954
100014,"Male","180725_mal-col_d03",81,0.400000000000006,0.178941113464555,-18.8061728395062,0.0832336542368382
100015,"Male","180725_mal-col_d03",57,0.280000000000001,0.216463212527428,-16.5842105263158,0.0702329252789792
100016,"Male","180725_mal-col_d03",325,1.62,0.471649904105435,-42.3396923076923,0.792952054061935
100017,"Male","180725_mal-col_d03",53,0.259999999999998,0.183893497255284,-21.4547169811321,0.0517989898732233
100018,"Male","180725_mal-col_d03",6785,33.92,0.425043801091661,6.09096322763134,14.8328604266705
100019,"Male","180725_mal-col_d03",301,1.5,0.469905285755978,-36.1661129568106,0.728675557200665
100020,"Male","180725_mal-col_d03",197,0.980000000000004,0.459423253704369,73.3568527918782,0.465655612234263
100021,"Male","180725_mal-col_d03",385,1.91999999999999,0.242984429844948,-39.7402597402597,0.524569266137483
100022,"Male","180725_mal-col_d03",873,4.36000000000001,0.27459778467526,-34.9871706758305,1.30690123141052
100023,"Male","180725_mal-col_d03",157,0.780000000000001,0.385617045850853,-40.1382165605096,0.314267696192183
100024,"Male","180725_mal-col_d03",65,0.319999999999993,0.481715958943807,-7.92,0.158933476475006
100025,"Male","180725_mal-col_d03",233,1.16,0.274453661647399,-36.5841201716738,0.347219980282014
100026,"Male","180725_mal-col_d03",345,1.72,0.381092349817685,13.8153623188406,0.684923615506763
100027,"Male","180725_mal-col_d03",1097,5.47999999999999,0.298876460794276,-26.1168969181722,1.51169196470476
100028,"Male","180725_mal-col_d03",445,2.22,0.404092906471459,-42.0991011235955,0.933462951416677
100029,"Male","180725_mal-col_d03",1029,5.14000000000001,0.35315263243413,-28.395335276968,1.91463495845493
100030,"Male","180725_mal-col_d03",417,2.07999999999998,0.354831659746889,-41.5175059952038,0.777250055100663
100031,"Male","180725_mal-col_d03",12053,60.26,0.36995111181963,6.57657844520036,23.4582942444795
100032,"Male","180725_mal-col_d03",665,3.31999999999999,0.40068216794717,-34.6544461778471,1.33622034042242
100033,"Male","180725_mal-col_d03",1189,5.94000000000003,0.29804961196136,-38.9656013456686,1.91019321302112
100034,"Male","180725_mal-col_d03",237,1.18000000000001,0.242183751162394,-35.87805907173,0.318531288514355
100035,"Male","180725_mal-col_d03",837,4.18000000000001,0.441473517955985,-40.1844720496894,1.84382033995948
