id,datetime,x_cm,y_cm,z_cm,size_mm2,speed_mps,acceleration_mps2,distance_cm
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.854739,-28.567188,-6.258754,162.39876,1.1896867,0.7962212,-6.800307,0.7962212
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.874739,-29.381157,-6.2446733,162.56113,1.193562,0.41506368,-19.057875,0.83012736
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.884739,-30.280813,-6.2659683,163.01857,0.9742346,1.0094931,59.442947,1.0094931
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.894739,-31.13084,-6.312317,163.23753,1.2350817,0.879,-13.0493145,0.879
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.904739,-31.983875,-6.3831615,163.41661,1.1846135,0.87450606,-0.44939554,0.87450606
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.934739,-32.896782,-6.512265,163.57074,0.94247013,0.31159508,-18.763699,0.93478525
01GJGWG1CPD2R4KQ7YY4W7HAZ2,2022-11-22 23:59:11.944739,-33.93294,-6.709274,164.39453,0.77439433,1.3383048,102.67097,1.3383048
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.834840,50.07905,-22.587416,195.4488,23.531542,1.2106625,2.266137,1.2106625
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.844840,48.877655,-22.27479,195.43822,24.739819,1.2414494,3.0786881,1.2414494
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.854840,47.68185,-21.995388,195.45699,23.93093,1.2281553,-1.3294176,1.2281553
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.864840,46.520813,-21.725803,195.4867,24.488909,1.1922939,-3.5861323,1.1922939
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.874840,45.417397,-21.443829,195.45389,24.729246,1.1393487,-5.2945113,1.1393487
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.884840,44.392666,-21.13132,195.32913,25.782177,1.0785633,-6.0785475,1.0785633
01GJGWGRA4XAGNH81DH47E48PV,2022-11-22 23:59:34.894840,43.46657,-20.77129,195.12717,26.785412,1.0139321,-6.4631267,1.0139321
