"target_id","frame","time_s","x","y","z","vx","vy","vz","size_mm2","speed_mps","speed_mms","speed_ms","horizontal_speed_ms","vertical_speed_ms"
1,149,1.48000597953796,-37.5564687732954,-456.278530362864,1590.85664078328,353.833571883672,180.09635495208,-307.774166789897,2.4289536,0.6149178,502.352298095867,0.502352298095867,0.397030091629064,0.307774166789897
1,150,1.49000597000122,-33.9790097675972,-454.427932030082,1587.65247108598,362.502618610691,191.567013604866,-337.716736593512,1.690331,0.4877111,531.186091098465,0.531186091098465,0.410007401397945,0.337716736593512
1,151,1.50000596046448,-30.3131076914549,-452.445618707398,1584.0742097443,369.164278225723,203.509087268333,-376.088198529046,1.8654501,0.5524341,564.925256995588,0.564925256995588,0.421542658480383,0.376088198529046
1,152,1.51000595092773,-26.648902673772,-450.40650865552,1580.2219171982,359.872396633979,200.823649690425,-387.096635624498,1.9788158,0.58078414,565.404355701184,0.565404355701185,0.412114401755224,0.387096635624498
1,153,1.52000689506531,-23.185984774389,-448.502594963422,1576.51257813378,329.483010358152,176.103437162886,-344.014742129839,1.1098394,0.55823815,507.855902297012,0.507855902297012,0.373592658781262,0.344014742129839
1,155,1.5400071144104,-20.0911483328356,-446.943261289114,1573.54862501357,289.521864214339,133.736811579808,-238.832051242754,1.2195274,0.24571185,398.433423962524,0.398433423962524,0.318917614172813,0.238832051242754
1,156,1.55000710487366,-17.3691073205873,-445.821384691165,1571.76027205112,257.492768924996,93.3123981946834,-126.348877698675,1.0726749,0.3367045,301.618581326183,0.301618581326183,0.273879042107104,0.126348877698675
1,157,1.56000709533691,-14.8817032336798,-444.9822339578,1570.71548338023,243.34058983241,81.3217950354098,-105.71492796652,0.91678345,0.24810825,277.49508644791,0.27749508644791,0.256569438959059,0.10571492796652
1,158,1.57000708580017,-12.4605879518609,-444.091683206716,1569.28922426863,241.70068236329,100.310866998578,-192.105745180584,0.91265327,0.3138263,324.632264607623,0.324632264607623,0.261689682434914,0.192105745180584
1,159,1.58000707626343,-10.0447546191556,-442.909291979249,1566.63938337051,240.941265071702,139.317330535812,-348.692094226663,1.1052954,0.3677063,446.148168637004,0.446148168637004,0.278319980960722,0.348692094226663
1,160,1.59000706672668,-7.6451268261629,-441.262016895431,1562.17652806495,239.172595059289,191.319704243564,-546.934739018688,1.002927,0.4876696,626.852748422371,0.626852748422371,0.306278891631858,0.546934739018688
