"frame","time_s","n_mosquitoes","mean_x","mean_y","mean_z","std_x","std_y","std_z"
149,1.48000597953796,1,-37.5564687732954,-456.278530362864,1590.85664078328,0,0,0
150,1.49000597000122,1,-33.9790097675972,-454.427932030082,1587.65247108598,0,0,0
151,1.50000596046448,1,-30.3131076914549,-452.445618707398,1584.0742097443,0,0,0
152,1.51000595092773,1,-26.648902673772,-450.40650865552,1580.2219171982,0,0,0
153,1.52000689506531,1,-23.185984774389,-448.502594963422,1576.51257813378,0,0,0
155,1.5400071144104,1,-20.0911483328356,-446.943261289114,1573.54862501357,0,0,0
156,1.55000710487366,1,-17.3691073205873,-445.821384691165,1571.76027205112,0,0,0
157,1.56000709533691,1,-14.8817032336798,-444.9822339578,1570.71548338023,0,0,0
158,1.57000708580017,1,-12.4605879518609,-444.091683206716,1569.28922426863,0,0,0
159,1.58000707626343,1,-10.0447546191556,-442.909291979249,1566.63938337051,0,0,0
160,1.59000706672668,1,-7.6451268261629,-441.262016895431,1562.17652806495,0,0,0
161,1.60000705718994,1,-5.25538774526639,-439.129168568916,1555.87759712583,0,0,0
163,1.62000703811646,1,-2.83438265915841,-436.808078236724,1548.82616507501,0,0,0
164,1.63000702857971,1,-0.274287528402385,-434.676750666605,1542.4064792199,0,0,0
165,1.64000701904297,1,2.49920828987242,-432.820299898838,1536.92877465268,0,0,0
166,1.65000700950623,1,5.54099313283524,-431.021513039704,1531.7149675964,0,0,0
169,1.680006980896,1,8.91842938301448,-429.0049727616,1525.89885913178,0,0,0
170,1.69000697135925,1,12.5677853215292,-426.786526797172,1519.54901561618,0,0,0
171,1.70000696182251,1,16.3454427673578,-424.644555917973,1513.60889682706,0,0,0
172,1.71000695228577,1,20.2031125273154,-422.79376893947,1508.75272306738,0,0,0
173,1.72000694274902,1,24.1816691021254,-421.350468207621,1505.33073930947,0,0,0
174,1.73000693321228,1,28.2947503329295,-420.317502773891,1503.29321439035,0,0,0
175,1.74000692367554,1,32.4679416379539,-419.548093508464,1502.0284855818,0,0,0
176,1.75000810623169,1,36.5780030781588,-418.764873677642,1500.42189600472,0,0,0
177,1.76000809669495,1,40.5608603935365,-417.84969971926,1498.01543787257,0,0,0
178,1.7700080871582,1,44.3868792093711,-416.867628758393,1494.99856757439,0,0,0
179,1.78000807762146,1,48.0293041970542,-415.937854149091,1491.73450314277,0,0,0
180,1.79000806808472,1,51.5184262186194,-415.107919611428,1488.44145883929,0,0,0
181,1.80000805854797,1,54.9058120640313,-414.363087210084,1485.17280259733,0,0,0
182,1.81000804901123,1,58.2199401447332,-413.666985741441,1481.91615531779,0,0,0
183,1.82000803947449,1,61.4598699990091,-412.99963260415,1478.6646297195,0,0,0
184,1.83000802993774,1,64.6244526178188,-412.359950936861,1475.4040539919,0,0,0
185,1.840008020401,1,67.7507510725923,-411.747164846588,1472.06694692858,0,0,0
187,1.86000800132751,1,70.9215042538008,-411.136514707622,1468.56942978452,0,0,0
189,1.88000798225403,1,74.1931476645859,-410.509772550638,1464.8781999845,0,0,0
190,1.89000797271729,1,77.5557362239619,-409.852444997076,1461.04943293621,0,0,0
191,1.90000796318054,1,80.984833472241,-409.152462032625,1457.15091649448,0,0,0
192,1.9100079536438,1,84.4943102721774,-408.396248785784,1453.20185577283,0,0,0
194,1.93000793457031,1,88.1283730248239,-407.571609747266,1449.1815376558,0,0,0
195,1.94000792503357,1,91.9050322693085,-406.685960433443,1445.08635661408,0,0,0
196,1.95000791549683,1,95.8171869978319,-405.750906957923,1440.9389194483,0,0,0
197,1.96000790596008,1,99.8438165026318,-404.771135954664,1436.77833843897,0,0,0
198,1.97000908851624,1,103.933396154856,-403.751519317686,1432.67860158452,0,0,0
199,1.98000907897949,1,107.999518271249,-402.702595576258,1428.72917195381,0,0,0
200,1.99000906944275,1,111.99016703745,-401.639913659094,1424.99684037207,0,0,0
201,2.00000905990601,1,115.931221213334,-400.594394067637,1421.4819877406,0,0,0
202,2.01000905036926,1,119.869070347313,-399.573915876575,1418.12952123314,0,0,0
203,2.02000904083252,1,123.809739908434,-398.568632891855,1414.84637716759,0,0,0
204,2.03000903129578,1,127.730974528738,-397.541435430827,1411.44627524822,0,0,0
206,2.05000901222229,1,131.611080670335,-396.404072852567,1407.60490012876,0,0,0
207,2.06000900268555,1,135.425915230764,-395.123478693573,1403.19741036654,0,0,0
208,2.0700089931488,1,139.261470960614,-393.875494645457,1398.80446914228,0,0,0
209,2.08000898361206,1,143.136749759139,-392.764248309057,1394.76513605765,0,0,0
210,2.09000897407532,1,146.993850581475,-391.78966875706,1390.99862971654,0,0,0
212,2.11000895500183,1,150.759262189875,-390.919869515903,1387.2603543597,0,0,0
213,2.12000894546509,1,154.348731921622,-390.100189827623,1383.36627780005,0,0,0
215,2.1400089263916,1,157.680311693133,-389.288356718161,1379.25509286537,0,0,0
216,2.15000891685486,1,160.690286230994,-388.48248536527,1375.03263957502,0,0,0
217,2.16000890731812,1,163.334036953407,-387.73656025819,1370.9623616695,0,0,0
218,2.17000889778137,1,165.606694088405,-387.158953073686,1367.41399861101,0,0,0
219,2.18000888824463,1,167.538291819676,-386.79198233128,1364.51316157371,0,0,0
220,2.19000911712646,1,169.048172622009,-386.456048255759,1361.66575583606,0,0,0
221,2.20001006126404,1,170.095770973816,-386.034867520388,1358.50861976252,0,0,0
223,2.22001004219055,1,170.700223593005,-385.512635840199,1355.0924234907,0,0,0
224,2.23001003265381,1,170.915630494054,-384.899490871054,1351.65665103265,0,0,0
225,2.24001002311707,1,170.819076411478,-384.232069684735,1348.37583148106,0,0,0
226,2.25001001358032,1,170.487748752894,-383.548299683306,1345.30314089449,0,0,0
227,2.26001000404358,1,169.996389961632,-382.870608504397,1342.40594938104,0,0,0
228,2.27000999450684,1,169.410045352791,-382.198201478188,1339.64267890214,0,0,0
229,2.28000998497009,1,168.782308924069,-381.503928875164,1336.96177897893,0,0,0
230,2.29000997543335,1,168.170747907539,-380.749796535043,1334.29021780974,0,0,0
